Id,time,value,,,
1501,3/16/18 0:20,0,,,
1502,3/16/18 8:42,60,,,
1503,3/16/18 12:00,0,,,
1504,3/16/18 13:01,0,,,
1505,3/16/18 13:44,0,,,
1506,3/16/18 13:57,24,,,
1507,3/16/18 18:32,60,,,
1508,3/16/18 20:16,36,,,
1509,3/16/18 21:04,33,,,
1510,3/16/18 23:00,0,,,
1511,3/17/18 3:40,0,,,
1512,3/17/18 9:43,65,,,
1513,3/17/18 9:47,10,,,
1514,3/17/18 14:49,60,,,
1515,3/17/18 15:51,30,,,
1516,3/17/18 18:12,0,,,
1517,3/17/18 19:46,60,,,
1518,3/18/18 0:37,0,,,
1519,3/18/18 8:58,60,,,
1520,3/18/18 10:33,0,,,
1521,3/18/18 11:47,60,,,
1522,3/18/18 17:07,26,,,
1523,3/18/18 19:28,50,,,
1524,3/18/18 21:41,24,,,
1525,3/19/18 7:18,60,,,
1526,3/19/18 9:40,47,,,
1527,3/19/18 12:18,60,,,
1528,3/19/18 15:52,30,,,
1529,3/19/18 18:26,0,,,
1530,3/19/18 19:42,50,,,
1531,3/19/18 23:39,15,,,
1532,3/20/18 0:15,0,,,
1533,3/20/18 8:40,65,,,
1534,3/20/18 11:39,33,,,
1535,3/20/18 12:05,75,,,
1536,3/20/18 16:51,35,,,
1537,3/20/18 17:47,70,,,
1538,3/20/18 23:49,0,,,